date_played_est,iron_source,enter_type,gold_source,spawn_biome,rta,time_wood,time_iron_pick,time_nether,time_bastion,time_fortress,time_first_portal,time_second_portal,time_stronghold,time_end,igt,gold_dropped,blaze_rods,blazes_killed,flint_picked_up,gravel_mined,deaths_total,jumps,eyes_used,diamond_picks_crafted,ender_pearls_used,obsidian_placed,diamond_sword_crafted,stone_mined,netherrack_mined,trade_enchanted_book, trade_iron_boots,trade_potion,trade_splash_potion,trade_iron_nugget,trade_ender_pearl,trade_string,trade_quartz,trade_obsidian,trade_crying_obsidian,trade_fire_charge,trade_leather,trade_soul_sand,trade_nether_brick,trade_glowstone_dust,trade_gravel,trade_magma_cream,killed_blaze,killed_chicken,killed_cod,killed_cow,killed_creeper,killed_enderman,killed_endermite,killed_ghast,killed_hoglin,killed_iron_golem,killed_pig,killed_piglin,killed_salmon,killed_sheep,killed_skeleton,killed_spider,killed_witch,killed_wither_skeleton,killed_zombie,eaten_bread,eaten_cooked_beef,eaten_cooked_chicken,eaten_cooked_cod,eaten_cooked_mutton,eaten_cooked_porkchop,eaten_cooked_salmon,eaten_enchanted_golden_apple,eaten_golden_apple,eaten_apple,eaten_rotten_flesh,eaten_golden_carrot,eaten_mushroom_stew,travel_walk_on_water,travel_walk,travel_walk_under_water,travel_swim,travel_boat,travel_sprint,seed,igt_2,date_played_est_2,bastion_type,end_fight_type,real_deaths,frame_eyes,run_id,,,,,,,,,,notes,
Date Played (EST),Run Types,,,,Splits,,,,,,,,,,,Miscellaneous,,,,,,,,,,,,Blocks Mined,,Piglin Barters (currently does not account for same items picked up twice),,,,,,,,,,,,,,,,,Mobs Killed,,,,,,,,,,,,,,,,,,,Foods Eaten,,,,,,,,,,,,,Distance Traveled (m),,,,,,,,,Manual Input,,,,,,,,,,,,,,,
,Iron Source,Enter Type,Gold Source,Spawn Biome,RTA,Wood,Iron Pick,Nether,Bastion,Fortress,Nether Exit,Second Portal,Stronghold,End,IGT,,,,,,Deaths,Jumps,Eyes Used,,Pearls Thrown,Obsidian Placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk (On Water),Walk,Walk (Under Water),Swim,Boat,Sprint,Seed,Igt,Date Played,Bastion Type,End Fight Type,Deaths,Frame Eyes,Run Number,Recent Version?,7,6,5,4,3,2,1,VOD,Notes,
3/12/2026 17:09:36,Structureless,Magma Ravine,Bastion,jungle,0:19:58,0:00:17,0:05:51,0:06:45,0:07:47,0:13:03,0:14:46,0:16:00,0:16:54,0:18:06,0:19:26,140,9,8,1,5,1,751,21,0,18,20,0,48,35,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,1,0,2,0,0,0,4,2,0,0,1,0,20,0,0,39,305,13,114,74,917,1697948613170823501,0:19:26,03/12/2026 17:09:36,Bridge,Half Bow,0,0,"8,936",FALSE,,,,,,,,,"Jungle spawn, nothing good in sight after roaming for 4.5 min, dugdown on pond straight into dungeon, gapple and some iron with more ore near, cs but pigs wandered off into ssv, trades got done quick, didnt feel great abt spawner, no other way seemed good either, going diagonal same way paid off with a fort, 0.8 ch, bad spikes from mineshaft, dug into pr, pearl clutch after bouncing off tower, ran around tower to make it to fountain",
3/12/2026 16:48:42,Structureless,Lava Pool,Bastion,plains,0:19:08,0:00:38,0:04:33,0:06:08,0:06:34,0:10:56,0:13:46,0:16:10,0:17:29,0:17:46,0:18:38,126,8,13,0,4,1,766,16,0,24,27,0,27,50,,,,,,,,,,,,,,,,,,13,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,10,0,0,0,3,0,0,0,21,287,5,150,150,923,-8610616025970290940,0:18:38,03/12/2026 16:48:42,Bridge,Zero Cycle,0,2,"8,935",FALSE,,,,,,,,,"Spawn lavapool, plains full of pathetic caves, rp for light, 2nd lavapool before a cave, 5 m in lag moment, 3rd lavapool of the seed, could tell brijj based on y level, cs, bad rng on terrain nav to fort, misplaced obby due to wither, enf obby to build off new one, 0.4 ch to -480 -480, same x and z coords for 4 4 digdown, back 95",
3/12/2026 16:28:41,Full Shipwreck,Magma Ravine,Bastion,plains,0:25:33,0:00:32,0:04:12,0:07:34,0:08:10,0:15:54,0:17:33,0:19:33,0:20:32,0:21:05,0:23:35,108,9,18,1,4,2,753,17,0,31,20,0,15,43,,,,,,,,,,,,,,,,,,18,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,7,0,7,0,0,0,0,12,0,0,16,342,36,1338,795,896,-829702172628599687,0:23:35,03/12/2026 16:28:41,Treasure/Treasure/Treasure,Half Bow,0,1,"8,934",FALSE,,,,,,,,,"TAS eyesight to spot shipwreck blending with mesa terrain, food ship on the way to bt, 2x1 magma portal, pig nation on trevor bridge, bottom for little more obby and fire res, false hopes on spawner being real, next one didnt look good either, went complete opposite way, hot tourist, crimson fort so good overlap for food, double spawner, back to 0.5 ch, phased through floating snow layer, perfect timing gold pick break on cage spawn, chaotic setup for front 95 but flew anyways, insane perch rotation",
3/12/2026 15:00:49,Structureless,Lava Pool,Bastion,wooded_hills,0:23:05,0:00:04,0:04:35,0:05:42,0:13:40,0:05:42,0:15:31,,0:18:36,0:19:14,0:22:19,36,8,21,1,22,0,875,14,0,2,20,0,93,14,1,0,1,1,29,15,0,0,3,12,5,34,15,52,17,38,3,21,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,347,0,0,57,851,-600866938318290727,0:22:19,03/12/2026 15:00:49,Stables,Full Bow,0,1,"8,933",FALSE,,,,,,,,,"Fully misjudged terrain, lavapool popping out of mountain side, TAS skeleton, iron rare commodity, spawned on fort highway, no bastion in 32, played spawner with shield, insane sniper blaze, half of bastion loaded on max render, double bad single triple stables, ripped 14 pearls, 20 obby on the dot, subspace blind near ice spikes, 1.3 ch, didnt notice 1 of the eyes didnt break and went on 12, surfaced 1 chunk off, only 1 anchor, TAS bowing made it only 1 perch",
3/12/2026 15:36:12,Full Shipwreck,Magma Ravine,Bastion,plains,0:19:55,0:02:02,0:04:32,0:05:48,0:06:16,0:13:00,0:15:05,0:16:40,0:17:44,0:18:20,0:19:15,201,9,19,1,11,3,403,18,0,22,20,0,11,16,,,,,,,,,,,,,,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,11,0,0,9,266,8,846,731,669,-3257783543062281692,0:19:15,03/12/2026 15:36:12,Treasure,Zero Cycle,0,0,"8,932",FALSE,,,,,,,,,"Map chest inaccessible in buried ship, wood and leaves first priority, bad ship into decent bt, magma ravine enter, 200 entities within 9 rd, divorced trevor-stables, went to mine bottom gold first, nasty basalt corruption, disgusting to not even get 20 obby, got final pieces in side chests, 19 chunk fort, bad rng on triple tnt turning into launcher but didnt blow up spawner, 1.3k blind, back 94 SS ",
3/12/2026 15:14:32,Buried Treasure,Lava Pool,Bastion,desert,0:23:29,0:00:27,0:04:22,0:06:32,0:07:52,0:13:29,0:16:42,0:18:42,0:19:54,0:20:14,0:22:52,146,8,21,1,5,1,746,16,0,25,20,1,32,94,,,,,,,,,,,,,,,,,,21,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,4,0,8,4,0,0,0,0,0,0,34,250,11,227,1324,834,-5808062441425800472,0:22:52,03/12/2026 15:14:32,Treasure,Half Bow,0,1,"8,931",FALSE,,,,,,,,,"Front loaded wood on ocean seed, mushroom island near ship + bt, dark oak haircut, pre-crafted sword with 2 diamonds then got 2 more in ravine, ziglin nation in top trevor, enf to leave without bottom gold, 22 diag fort, missed wither skull, never ending 0.5 ch this split, 2.1k blind dist, horrible looking strongshaft but easy nav, flew on back 94 SS, a while to perch",
3/12/2026 14:24:14,Full Shipwreck,Lava Pool,Bastion,wooded_hills,0:24:29,0:01:19,0:06:00,0:07:21,0:10:34,0:15:02,0:17:35,0:19:34,0:20:26,0:20:44,0:23:05,197,7,18,1,10,1,698,16,0,22,20,0,62,206,,,,,,,,,,,,,,,,,,18,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,3,0,0,0,0,6,0,16,311,24,1049,546,823,1106578144433575534,0:23:05,03/12/2026 14:24:14,Treasure,Half Bow,0,1,"8,930",FALSE,,,,,,,,,"3 obby rp, dolphins being stupid, great half boat ~4 min in, bonkers 19 iron bt, digdown enter, saw ssv fort, quite a long way to trevor, pigs hijacked boat going to bottom, crimson tree with treasure gold, meanie blazes melee, 0.5 ch to furthest ends of 1st ring, swamphold, scuffed front 95, broke bed after few rotations, still enf left to one cycle",
3/12/2026 13:58:17,Structureless,Lava Pool,Bastion,plains,0:18:26,0:00:10,0:04:21,0:05:03,0:06:23,0:10:09,0:12:35,0:14:36,0:15:56,0:17:05,0:17:51,112,8,17,1,9,2,744,18,0,21,20,0,59,131,,,,,,,,,,,,,,,,,,17,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,22,260,0,0,50,971,-8164561308627355276,0:17:51,03/12/2026 13:58:17,Bridge,Zero Cycle,0,2,"8,929",FALSE,,,,,,,,,"Put in part of last run notes as world name, W iron x-ray behind stone, also heard lava pops, grabbed dandellions for stew, orphaned baby sheep, lava turned out real, 5 min structureless enter, 20 chunks to brijj, glowstone chalice with a side of pigface, dk, crazy obby pull from other triple, 10 min fort, tunnel connecting both spawners, double beehive, 0.5 ch, diagonal moment, stupid sh nav, back 95 2+2",
