flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),calc(depracated),link,minutes,seconds,milliseconds,total_milliseconds,blank,blank2,current_wr,cur_wr_normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_collected,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<500,500-1000,1000-1500,1500-2000,2000+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type_2,bastion_route,chests_checked,depracated_bastion_info,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since_2,elo_weight,elo,timeloss
🇺🇸,lowkey,1,1,6:48.508,6:50.359,11 Jun 2025,356,(V),-8717682453392808086,,Yes,https://www.speedrun.com/mc/runs/m7l7960y,6,50,359,410359,,,410359,1,421494,0.9735820676,-0.0005,0.8369,0.5145509995,84.8552,101.3871,1000.0000,0.60000,,BT,🗙,2x1 Magma,1:39,0:23,2:02,Bridge,1:58,4:00,0:00,4:00,Fort,0:32,4:32,6/6,6,6,1.00,0:12,Yes,2,4:44,Calc,0:25,2,0,0,0,5:09,0:33,1289,0,0,1,0,0,5:42,4:44,3:05,3:38,1:12,2:04,2:48,1:10,5:42,Prempt,0:14,1,,5:56,Zero,6,4,6,--,O,B Diag,B,Diag,85,M85,99,0:52,6:48,Bridge,DK,6,DT,2:02,,,,1:58,4:00,28,82,22,40,,24,356,0.01097866319,11.13095353,"Nether enter, bastion split, stronghold distance"
🇨🇦,Jay12310,0,1,6:56.051,6:56.731,04 Feb 2026,118,(V),6044301913007956989,,,https://www.speedrun.com/mc/runs/mep526qy,6,56,731,416731,,,410359,1.015527867,410359,1.015527867,-0.0005,0.9427,0.6569457855,93.3212,98.9928,989.7499,0.66865,,BT,,2x1 Magma,1:08,0:28,1:36,Stables,2:00,3:36,0:03,3:39,Fort,1:38,5:28,6/12,6,12,0.50,--,No,2,4:59,Calc,0:11,1,0,1,1,5:10,0:23,739,0,1,0,0,0,5:51,5:17,4:09,4:32,0:47,1:39,3:17,0:23,5:51,Prempt,0:13,1,,6:04,Zero,5,,5,--,B57,F Diag,F,Diag,83,Small Cage,94,0:52,6:56,Stables,GAP,1,B-TST,1:36,,,,2:00,3:36,20,60,30,0,28,16,118,0.8484847223,839.9391942,"bastion split, fortress split, rates"
🇮🇹,drip120,1,1,7:00.799,7:01.494,03 Jan 2024,881,(V),8802654848425114236,15,Yes,https://www.speedrun.com/mc/run/y8ko8qny,7,1,494,421494,,,410359,1.027134777,446254,0.9445159035,-0.0005,0.6437,0.4353010615,65.9910,102.5159,980.7699,0.72526,,BT,,2x1 Magma,1:18,0:15,1:33,Treasure,1:38,3:11,0:21,3:32,Fort,0:58,4:57,6/9,6,9,0.67,--,No,2,4:26,Calc,0:27,1,0,0,0,4:53,0:25,821,0,1,0,0,0,5:22,4:30,3:12,3:37,1:14,2:30,3:28,0:25,5:22,Prempt,0:22,0,,5:44,Perch,5,--,--,5,NZ-O,--,--,,--,--,--,1:16,7:00,Treasure,BOOMR,4,8/12,1:33,,,,1:38,3:11,21,70,26,0,,22,881,0,0,"fort distance, perch"
🇨🇦,Aquacorde,0,1,7:08.699,7:08.699,10 Mar 2026,84,(Q),2129033182999502069,,,https://www.speedrun.com/mc/runs/y4vwx5ny,7,8,699,428699,,,410359,1.044692574,410359,1.044692574,-0.0005,0.9589,0.7790309314,92.6759,96.6512,964.7691,0.82032,,BT,✔,2x1 Magma,1:29,0:07,1:36,Housing,1:37,3:13,0:12,3:25,Fort,1:04,4:29,6/10,6,10,0.60,0:12,Yes,2,4:41,Calc,0:15,1,0,0,0,4:56,1:07,1773,0,0,0,1,0,6:03,4:41,3:12,4:19,1:39,2:27,3:43,1:34,6:03,Prempt,0:17,1,,6:20,Zero,5,,5,--,O,B 1/8,B,1/8,--,--,93,0:48,7:08,Housing,TOPD,3,--,1:36,,,,1:37,3:13,24,67,31,53,58,13,84,0.9424518957,910.8913072,"rates, terrain to sh"
🇨🇦,Jay12310,0,0,7:09.845,7:09.845,29 May 2026,4,(U),video,,,https://www.youtube.com/watch?v=hP4_bUJulk4,7,9,845,429845,,,410359,1.047485251,410359,1.047485251,-0.0005,0.9980,0.7918396051,96.2005,96.3931,961.9337,0.83655,,BT,✔,2x1 Magma,1:07,0:49,1:56,Bridge,1:43,3:39,0:01,3:40,Fort,1:41,5:32,7/19,7,19,0.37,--,No,2,5:16,Calc,0:11,1,0,1,1,5:27,0:20,851,0,1,0,0,0,5:52,5:21,4:14,4:34,1:01,1:48,3:29,0:20,5:52,Prempt,0:30,2,0,6:22,Zero,5,3,5,--,O,F Diag,F,Diag,88,M88,99,0:47,7:09,Bridge,LODES,3,--,1:56,0:13,2:09,1:30,1:43,3:39,23,150,27,25,27,24,4,0.9999936,963.925129,
🇺🇦,loodlow,0,1,7:10.076,7:11.350,21 Oct 2025,224,(V),-1058044179150873683,,Yes,https://www.speedrun.com/mc/runs/ydo05ojz,7,11,350,431350,,,410359,1.051152771,410359,1.051152771,-0.0005,0.8940,0.8089749346,85.8681,96.0446,958.0821,0.85837,,BT,,2x1 Magma,1:31,0:35,2:06,Housing,1:45,3:51,0:05,3:56,Fort,0:37,4:33,6/7,6,7,0.86,0:13,Yes,1,4:46,Blind,1:05,1,0,0,0,--,--,136,1,0,0,0,0,--,4:46,3:15,3:15,1:34,2:24,3:14,1:18,5:51,Prempt,0:29,0,,6:20,Zero,5,,5,--,O,B Diag,B,Diag,103,Tall Boi,95,0:50,7:10,Housing,TOPD,5,TR,2:06,,,,1:45,3:51,23,80,25,15,,32,224,0.3249960014,312.1410569,"nav, dig down"
🇨🇦,Aquacorde,0,1,7:09.181,7:12.114,16 Feb 2026,106,(Q),-6645733506759892987,,,https://www.speedrun.com/mc/runs/zpvnl4gz,7,12,114,432114,,,410359,1.053014556,410359,1.053014556,-0.0005,0.9484,0.8178118521,90.9149,95.8634,956.0702,0.86966,,BT,,RP,1:08,0:48,1:56,Bridge,2:04,4:00,0:11,4:11,Fort,1:15,5:26,7/10,7,10,0.70,0:10,Yes,1,5:36,Blind,0:41,2,0,0,0,--,--,180,1,0,0,0,0,--,5:36,4:28,4:28,0:47,1:33,2:58,0:51,6:17,OEPR,0:06,1,,6:23,Zero,5,,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:09,Bridge,DK,4,TS,1:56,,,,2:04,4:00,18,109,19,19,24,30,106,0.8877176041,850.9964239,
🇩🇰,Bloopy,0,1,7:13.157,7:13.157,16 Oct 2025,229,(V),-5449384532227041969,,Yes,https://www.speedrun.com/mc/runs/yv535lom,7,13,157,433157,,,410359,1.055556232,410359,1.055556232,-0.0005,0.8918,0.8300281801,85.2674,95.6114,953.2609,0.88531,,BT,,2x1 Magma,1:03,0:24,1:27,Housing,1:49,3:16,0:12,3:28,Fort,1:14,4:42,5/9,5,9,0.56,0:15,Yes,1,4:57,Blind,1:11,1,0,0,0,--,--,587,0,1,0,0,0,--,4:57,3:54,3:54,1:23,2:16,3:45,1:26,6:08,OEPR,0:12,2,,6:20,Zero,6,,6,--,O,F Diag,F,Diag,103,Tall Boi,95,0:53,7:13,Housing,MANH,3,SINGLE,1:27,,,,1:49,3:16,18,108,43,44,,16,229,0.3009235901,287.717337,
🇵🇱,watermelon1708,0,1,7:16.326,7:16.326,07 Dec 2025,177,(V),-3009416634026052013,,Yes,https://www.speedrun.com/mc/runs/y9wx8x2z,7,16,326,436326,,,410359,1.063278739,410359,1.063278739,-0.0005,0.9153,0.8682453027,86.7818,94.8121,944.2692,0.93459,,BT,,2x1 Magma,1:24,0:05,1:29,Bridge,1:59,3:28,0:15,3:43,Fort,1:42,5:45,6/14,6,14,0.43,--,No,2,5:17,Calc,0:20,1,0,0,0,5:37,0:25,671,0,1,0,0,0,6:10,5:25,4:01,4:26,1:01,1:50,3:32,0:25,6:10,Prempt,0:16,2,,6:26,Zero,6,,6,--,O,F Diag,F,Diag,91,M91,99,0:49,7:15,Bridge,SOOG,4,RT,1:29,,,,1:59,3:28,21,128,60,12,32,49,177,0.5743459867,544.5494771,
🇳🇴,skycrab1,0,1,7:16.474,7:16.560,02 Jan 2026,151,(V),-8753882162041693203,,Yes,https://www.speedrun.com/mc/runs/m320j36y,7,16,560,436560,,,410359,1.063848971,410359,1.063848971,-0.0005,0.9273,0.8711339965,87.8607,94.7510,943.5775,0.93834,,BT,,2x1 Magma,1:47,0:16,2:03,Treasure,1:40,3:43,0:29,4:12,Fort,0:58,5:25,6/9,6,9,0.67,--,No,2,4:56,Calc,0:15,1,0,0,0,5:11,0:30,1066,0,0,1,0,0,5:55,5:10,3:23,3:53,1:14,2:04,3:02,0:30,5:55,Prempt,0:29,3,,6:24,Zero,6,,6,--,O,F Diag,F,Diag,88,M88,99,0:50,7:14,Treasure,BOOMR,4,--,2:03,,,,1:40,3:43,22,110,45,31,29,21,151,0.708719754,671.5192631,
