flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),calc(depracated),link,minutes,seconds,milliseconds,total_milliseconds,retime_ms,retime,current_wr,cur_wr_normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_collected,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<500,500-1000,1000-1500,1500-2000,2000+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type_2,bastion_route,chests_checked,depracated_bastion_info,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since_2,elo_weight,elo,timeloss,,,,,,,,,,,
🇺🇸,lowkey,1,1,6:48.508,6:50.359,11 Jun 2025,359,(V),-8717682453392808086,,Yes,https://www.speedrun.com/mc/runs/m7l7960y,6,50,359,410359,1851,1.851,408508,1,421494,0.9735820676,,0.8357,0.5145509995,84.7280,101.3871,1000.0000,0.60000,,BT,🗙,2x1 Magma,1:39,0:23,2:02,Bridge,1:58,4:00,0:00,4:00,Fort,0:32,4:32,6/6,6,6,1.00,0:12,Yes,6,2,4:44,Calc,0:25,2,0,0,0,5:09,0:33,1289,0,0,1,0,0,5:42,4:44,3:05,3:38,1:12,2:04,2:48,1:10,5:42,Prempt,0:14,1,,5:56,Zero,6,4,6,--,O,B Diag,B,Diag,85,M85,99,0:52,6:48,Bridge,DK,6,DT,2:02,,,,1:58,4:00,28,82,22,40,,24,359,0.009785751303,9.921494183,1,39,99,3,5,185,1,12,72,0,52
🇨🇦,Jay12310,0,1,6:56.051,6:56.731,04 Feb 2026,121,(V),6044301913007956989,,,https://www.speedrun.com/mc/runs/mep526qy,6,56,731,416731,680,0.68,416051,1.015527867,410359,1.015527867,,0.9413,0.6569457855,93.1814,98.9928,989.7499,0.66865,,BT,,2x1 Magma,1:08,0:28,1:36,Stables,2:00,3:36,0:03,3:39,Fort,1:38,5:28,6/12,6,12,0.50,--,No,,2,4:59,Calc,0:11,1,0,1,1,5:10,0:23,739,0,1,0,0,0,5:51,5:17,4:09,4:32,0:47,1:39,3:17,0:23,5:51,Prempt,0:13,1,,6:04,Zero,5,,5,--,B57,F Diag,F,Diag,83,Small Cage,94,0:52,6:56,Stables,GAP,1,B-TST,1:36,,,,2:00,3:36,20,60,30,0,28,16,121,0.8376490173,829.2126212,1,8,68,4,9,249,0,47,47,0,52
🇮🇹,drip120,1,1,7:00.799,7:01.494,03 Jan 2024,884,(V),8802654848425114236,15,Yes,https://www.speedrun.com/mc/run/y8ko8qny,7,1,494,421494,695,0.695,420799,1.027134777,446254,0.9445159035,,0.6427,0.4353010615,65.8921,102.5159,980.7699,0.72526,,BT,,2x1 Magma,1:18,0:15,1:33,Treasure,1:38,3:11,0:21,3:32,Fort,0:58,4:57,6/9,6,9,0.67,--,No,,2,4:26,Calc,0:27,1,0,0,0,4:53,0:25,821,0,1,0,0,0,5:22,4:30,3:12,3:37,1:14,2:30,3:28,0:25,5:22,Prempt,0:22,0,,5:44,Perch,5,--,--,5,NZ-O,--,--,,--,--,--,1:16,7:00,Treasure,BOOMR,4,8/12,1:33,,,,1:38,3:11,21,70,26,0,,22,884,0,0,1,18,78,3,12,192,1,14,74,1,16
?,pavkin,0,1,7:05.066,7:05.066,02 Jun 2026,3,(Q),-8631010155278757961,,,https://www.youtube.com/watch?v=D33RRwcqqY4,7,5,66,425066,0,0,425066,1.03583935,410359,1.03583935,,0.9985,0.7397596449,97.2828,97.4288,973.2199,0.77091,,SH,🗙,2x1 Magma,1:27,0:15,1:42,Housing,1:42,3:24,0:27,3:51,Fort,0:56,4:47,6/11,6,11,0.55,0:14,Yes,6,1,5:01,Blind,0:46,1,1,0,1,--,--,175,1,0,0,0,0,--,5:01,3:34,3:34,1:18,2:04,3:14,1:00,5:47,Prempt,0:32,2,1,6:19,Zero,5,3,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:05,Housing,TOPD,3,RT,1:42,0:14,1:56,1:28,1:42,3:24,12,90,51,28,33,18,3,0.9999973,974.2852396,1,27,87,3,34,214,1,18,78,0,46
🇨🇦,Aquacorde,0,1,7:08.699,7:08.699,10 Mar 2026,87,(Q),2129033182999502069,,,https://www.speedrun.com/mc/runs/y4vwx5ny,7,8,699,428699,0,0,428699,1.044692574,410359,1.044692574,,0.9574,0.7790309314,92.5370,96.6512,964.7691,0.82032,,BT,✔,2x1 Magma,1:29,0:07,1:36,Housing,1:37,3:13,0:12,3:25,Fort,1:04,4:29,6/10,6,10,0.60,0:12,Yes,,2,4:41,Calc,0:15,1,0,0,0,4:56,1:07,1773,0,0,0,1,0,6:03,4:41,3:12,4:19,1:39,2:27,3:43,1:34,6:03,Prempt,0:17,1,,6:20,Zero,5,,5,--,O,B 1/8,B,1/8,--,--,93,0:48,7:08,Housing,TOPD,3,--,1:36,,,,1:37,3:13,24,67,31,53,58,13,87,0.9362710136,904.9174089,1,29,89,3,12,192,1,39,99,0,48
🇨🇦,Jay12310,0,0,7:09.845,7:09.845,29 May 2026,7,(U),video,,,https://www.youtube.com/watch?v=hP4_bUJulk4,7,9,845,429845,0,0,429845,1.047485251,410359,1.047485251,,0.9965,0.7918396051,96.0563,96.3931,961.9337,0.83655,,BT,✔,2x1 Magma,1:07,0:49,1:56,Bridge,1:43,3:39,0:01,3:40,Fort,1:41,5:32,7/19,7,19,0.37,--,No,,2,5:16,Calc,0:11,1,0,1,1,5:27,0:20,851,0,1,0,0,0,5:52,5:21,4:14,4:34,1:01,1:48,3:29,0:20,5:52,Prempt,0:30,2,0,6:22,Zero,5,3,5,--,O,F Diag,F,Diag,88,M88,99,0:47,7:09,Bridge,LODES,3,--,1:56,0:13,2:09,1:30,1:43,3:39,23,150,27,25,27,24,7,0.9999657006,963.8982359,1,7,67,4,14,254,1,1,61,0,47
🇺🇦,loodlow,0,1,7:10.076,7:11.350,21 Oct 2025,227,(V),-1058044179150873683,,Yes,https://www.speedrun.com/mc/runs/ydo05ojz,7,11,350,431350,1274,1.274,430076,1.051152771,410359,1.051152771,,0.8927,0.8089749346,85.7394,96.0446,958.0821,0.85837,,BT,,2x1 Magma,1:31,0:35,2:06,Housing,1:45,3:51,0:05,3:56,Fort,0:37,4:33,6/7,6,7,0.86,0:13,Yes,,1,4:46,Blind,1:05,1,0,0,0,--,--,136,1,0,0,0,0,--,4:46,3:15,3:15,1:34,2:24,3:14,1:18,5:51,Prempt,0:29,0,,6:20,Zero,5,,5,--,O,B Diag,B,Diag,103,Tall Boi,95,0:50,7:10,Housing,TOPD,5,TR,2:06,,,,1:45,3:51,23,80,25,15,,32,227,0.3104574885,298.1776027,1,31,91,3,15,195,1,34,94,0,50
🇨🇦,Aquacorde,0,1,7:09.181,7:12.114,16 Feb 2026,109,(Q),-6645733506759892987,,,https://www.speedrun.com/mc/runs/zpvnl4gz,7,12,114,432114,2933,2.933,429181,1.053014556,410359,1.053014556,,0.9470,0.8178118521,90.7787,95.8634,956.0702,0.86966,,BT,,RP,1:08,0:48,1:56,Bridge,2:04,4:00,0:11,4:11,Fort,1:15,5:26,7/10,7,10,0.70,0:10,Yes,,1,5:36,Blind,0:41,2,0,0,0,--,--,180,1,0,0,0,0,--,5:36,4:28,4:28,0:47,1:33,2:58,0:51,6:17,OEPR,0:06,1,,6:23,Zero,5,,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:09,Bridge,DK,4,TS,1:56,,,,2:04,4:00,18,109,19,19,24,30,109,0.8785320407,842.190829,1,8,68,4,28,268,0,47,47,0,46
🇩🇰,Bloopy,0,1,7:13.157,7:13.157,16 Oct 2025,232,(V),-5449384532227041969,,Yes,https://www.speedrun.com/mc/runs/yv535lom,7,13,157,433157,0,0,433157,1.055556232,410359,1.055556232,,0.8905,0.8300281801,85.1396,95.6114,953.2609,0.88531,,BT,,2x1 Magma,1:03,0:24,1:27,Housing,1:49,3:16,0:12,3:28,Fort,1:14,4:42,5/9,5,9,0.56,0:15,Yes,,1,4:57,Blind,1:11,1,0,0,0,--,--,587,0,1,0,0,0,--,4:57,3:54,3:54,1:23,2:16,3:45,1:26,6:08,OEPR,0:12,2,,6:20,Zero,6,,6,--,O,F Diag,F,Diag,103,Tall Boi,95,0:53,7:13,Housing,MANH,3,SINGLE,1:27,,,,1:49,3:16,18,108,43,44,,16,232,0.2868726758,274.2830574,1,3,63,3,54,234,1,23,83,0,53
🇨🇦,Aquacorde,0,0,7:13.017,7:13.178,04 Jun 2026,1,(U),todo,,,https://www.youtube.com/watch?v=th2B5695usM,7,13,178,433178,161,0.161,433017,1.055607407,410359,1.055607407,,0.9995,0.830275965,95.5585,95.6063,953.2036,0.88562,,BT,✔,2x1 Magma,1:15,0:17,1:32,Housing,1:33,3:05,0:41,3:46,Fort,1:04,5:10,6/8,6,8,0.75,--,No,5,2,4:44,Calc,0:20,1,0,0,0,5:04,0:49,1480,0,0,1,0,0,5:59,4:50,3:35,4:24,1:31,2:23,3:27,0:49,5:59,Prempt,0:22,2,0,6:21,Zero,6,4,6,--,B57,B Diag,B,Diag,97,T97,95,0:52,7:13,Housing,MANH,3,--,1:32,0:09,1:41,1:24,1:33,3:05,26,132,43,40,33,15,1,0.9999999,956.0628756,1,15,75,3,35,215,1,31,91,0,52
