flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),calc(depracated),link,minutes,seconds,milliseconds,total_milliseconds,retime_ms,retime,current_wr,cur_wr_normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_collected,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<500,500-1000,1000-1500,1500-2000,2000+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type_2,bastion_route,chests_checked,depracated_bastion_info,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since_2,elo_weight,elo,timeloss
🇺🇸,lowkey,1,1,6:48.508,6:50.359,11 Jun 2025,391,(V),-8717682453392808086,,Yes,https://www.speedrun.com/mc/runs/m7l7960y,6,50,359,410359,1851,1.851,408508,1,421494,0.9735820676,,0.8224,0.5145509995,83.3832,101.3871,1000.0000,0.60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,1,6:56.051,6:56.731,04 Feb 2026,153,(V),6044301913007956989,,,https://www.speedrun.com/mc/runs/mep526qy,6,56,731,416731,680,0.68,416051,1.015527867,410359,1.015527867,,0.9264,0.6569457855,91.7023,98.9928,989.7499,0.66865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇮🇹,drip120,1,1,7:00.799,7:01.494,03 Jan 2024,916,(V),8802654848425114236,15,Yes,https://www.speedrun.com/mc/run/y8ko8qny,7,1,494,421494,695,0.695,420799,1.027134777,446254,0.9445159035,,0.6325,0.4353010615,64.8462,102.5159,980.7699,0.72526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇰🇷,pavkin,0,1,7:05.066,7:05.066,02 Jun 2026,35,(Q),-8631010155278757961,,,https://www.youtube.com/watch?v=D33RRwcqqY4,7,5,66,425066,0,0,425066,1.03583935,410359,1.03583935,,0.9827,0.7397596449,95.7386,97.4288,973.2199,0.77091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,1,7:08.699,7:08.699,10 Mar 2026,119,(V),2129033182999502069,,,https://www.speedrun.com/mc/runs/y4vwx5ny,7,8,699,428699,0,0,428699,1.044692574,410359,1.044692574,,0.9422,0.7790309314,91.0682,96.6512,964.7691,0.82032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,0,7:09.845,7:09.845,29 May 2026,39,(U),video,,,https://www.youtube.com/watch?v=hP4_bUJulk4,7,9,845,429845,0,0,429845,1.047485251,410359,1.047485251,,0.9807,0.7918396051,94.5317,96.3931,961.9337,0.83655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇦,loodlow,0,1,7:10.076,7:11.350,21 Oct 2025,259,(V),-1058044179150873683,,Yes,https://www.speedrun.com/mc/runs/ydo05ojz,7,11,350,431350,1274,1.274,430076,1.051152771,410359,1.051152771,,0.8785,0.8089749346,84.3785,96.0446,958.0821,0.85837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,1,7:09.181,7:11.993,16 Feb 2026,141,(V),-6645733506759892987,,,https://www.speedrun.com/mc/runs/zpvnl4gz,7,11,993,431993,2812,2.812,429181,1.052719692,410359,1.052719692,,0.9319,0.8164060284,89.3647,95.8923,956.3914,0.86786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,1,7:13.157,7:13.157,16 Oct 2025,264,(V),-5449384532227041969,,Yes,https://www.speedrun.com/mc/runs/yv535lom,7,13,157,433157,0,0,433157,1.055556232,410359,1.055556232,,0.8763,0.8300281801,83.7882,95.6114,953.2609,0.88531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,7:13.017,7:13.178,04 Jun 2026,33,(U),todo,,,https://www.youtube.com/watch?v=th2B5695usM,7,13,178,433178,161,0.161,433017,1.055607407,410359,1.055607407,,0.9836,0.830275965,94.0417,95.6063,953.2036,0.88562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
